id,smiles,pIC50,n,source
CHEMBL5202218,NC(=S)N/N=C/c1cc(-c2ccc(C(=O)O)cc2)co1,4.61,1,ChEMBL
CHEMBL5410459,CC1(C)CC(=O)C2=C(C1)Nc1cc([N+](=O)[O-])ccc1N(C(=O)CCl)C2,4.61,1,ChEMBL
CHEMBL5441845,CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)CCN4C(=O)C3CC3)C(C)C)ncnc2[nH]1,4.61,1,ChEMBL
CHEMBL5441588,CCNC(=O)c1cc2c(NC3(c4ccc5c(c4)S(=O)(=O)CCC5)CC3)ncnc2[nH]1,4.61,1,ChEMBL
MAT-POS-53907a1c-2,Cc1ccncc1NC(=O)N(CCC1CCCCC1)c1cc(Cl)cc(OC(C)C)c1,4.61,1,Moonshot
TRY-UNI-714a760b-6,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,4.61,1,Moonshot
RAL-THA-2d450e86-37,O=C(Cc1ccccc1F)Nc1cncc2ccccc12,4.61,1,Moonshot
EDG-MED-0da5ad92-7,CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,4.61,1,Moonshot
RAL-THA-2d450e86-32,O=C(Cc1ccc(C(F)(F)F)cc1)Nc1cncc2ccccc12,4.61,1,Moonshot
MAT-POS-5369c344-6,O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3cccnc3)cc(Cl)cc21,4.6,1,Moonshot
RAL-MED-2de63afb-14,O=C(Cc1cncnc1)Nc1cc(F)cc(OC2CC(=O)N2)c1,4.6,1,Moonshot
ALP-POS-87c86d55-2,CCC(=O)Nc1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc32)cc1,4.6,1,Moonshot
CHEMBL6142409,COC(=O)c1ccc(NC(=O)[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,4.6,1,ChEMBL
CHEMBL6102442,COc1ccc(NC(=O)[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1O,4.6,1,ChEMBL
CHEMBL6102988,Cc1cc(=O)oc2cc(S(=O)(=O)C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)ccc12,4.6,1,ChEMBL
CHEMBL5199064,Cc1cc([N+](=O)[O-])c(-c2ccc(/C=N/NC(=O)c3nonc3N)o2)cc1Cl,4.6,1,ChEMBL
